u,v,water_count
10132442694,10132442688,2
10244483284,9821927093,1
10587036950,10587037002,1
10587037002,10587036950,1
10587037003,6018007909,1
10733698994,10733698997,1
10733698997,10733698994,1
10989082048,10989082055,1
10989082055,10989082048,1
11047098643,11047098729,1
11047098643,11047148066,1
11047098729,11047098643,1
11047098733,6611781918,1
11047148066,11047098643,1
11047190428,11047190431,1
11047190431,11047190428,1
11047190437,11047190615,1
11047190615,11047190437,1
