u,v,pois_count
24987016,1331044289,1
24987017,24987007,1
24987017,24987016,1
24987017,24987056,1
24987021,1584360551,1
24987021,3739034059,1
24987021,3739034060,1
24987024,1184661331,1
24987024,1184661336,1
24987024,1281829017,1
24987025,1184661329,1
24987025,1184661418,1
24987025,1281829012,1
24987026,1183384012,1
24987026,1184661380,1
24987026,1281829009,1
24987027,1183383615,1
24987027,1184661287,1
24987027,1281829011,1
24987043,24987044,4
24987043,24987083,2
24987044,24987043,4
24987044,24987084,2
24987047,24987052,1
24987047,24987082,1
24987047,1584360589,1
24987047,3739034059,1
24987052,24987047,1
24987052,24987056,1
24987052,1331044289,1
24987052,2367865191,1
24987056,24987017,1
24987056,24987052,1
24987056,286659937,1
24987059,24987060,1
24987059,495119365,1
24987059,1587010807,1
24987060,24987059,1
24987060,24987081,1
24987060,495119365,1
24987081,24987060,1
24987082,24987047,1
24987083,24986898,1
24987083,24986925,1
24987083,24987043,2
24987084,24986955,1
24987084,24987044,2
24987084,1184661478,1
24987084,3739034066,1
24996916,3761409962,1
24996944,5837954917,1
24996975,5712464419,1
25109916,257802831,1
25109916,1027118636,1
25109916,1027333639,2
25109916,4744710563,1
25114899,1015283561,1
25114899,1018274989,1
25114899,8734306281,1
25114932,1018274964,1
25114932,1018296423,1
25114932,8734306274,1
25114936,25114937,3
25114936,289753536,1
25114936,1018274987,1
25114936,3412622872,1
25114937,25114936,3
25114937,1018194784,2
25114937,2441395224,2
25115179,1018296406,1
25115179,7102031421,1
25115179,8740017757,1
25115184,1018296424,1
25115184,8739602900,1
25115184,8740017760,1
25115187,1018254225,1
25115187,8734306259,1
25115187,8740017762,1
25182350,4366499587,1
25182358,24956264,1
25246547,17034820,1
25246547,5059377646,4
25246547,5452306105,1
25246547,7465062605,1
25248571,266634473,1
25248626,5699199874,1
25248629,5699199876,1
25249630,3623358709,1
25284858,24986975,1
25284858,286659941,1
25284858,286659944,1
25438902,8659191111,1
25438903,1359686074,1
25503117,1054587384,1
25506066,31269420,1
25506102,31269441,1
25951217,25951258,1
25951217,1803874695,1
25951217,4243515351,1
25951225,25951235,1
25951225,283712475,1
25951225,1803874695,1
25951235,25951225,1
25951235,283712740,1
25951235,1038193658,1
25951258,25951217,1
25951258,1038193658,1
25951258,4243515344,1
25962608,267023609,1
25962608,318310771,1
25962608,434950621,1
25962608,452958102,1
25962608,1605049389,1
26081738,26081739,1
26081738,303345561,1
26081738,8505065571,1
26081739,26081738,1
26081739,26081744,1
26081739,1223711408,1
26081744,26081739,1
26081744,26081745,1
26081744,1211228927,1
26081745,26081744,1
26081745,1015163714,1
26081745,1211228923,1
26081747,26081749,1
26081747,293592226,2
26081747,303345546,1
26081747,1015163714,1
26081749,26081747,1
26081749,26081750,1
26081749,303345550,1
26081750,26081749,1
26081750,26081756,1
26081750,1206860261,1
26081756,26081750,1
26081756,298719910,1
26081756,1225576327,1
26154494,26154496,1
26154496,26154494,1
26154496,1359282608,1
26154496,3295567322,1
26154506,1360644286,1
26154506,3295567322,1
26154506,4927568094,1
26154506,4970508320,1
26154535,267703834,1
26154535,1460168910,1
26154535,1578303581,1
26154559,10977461701,1
26154569,10977461688,1
26154959,807112525,1
26154962,26154967,1
26154967,26154962,1
26154980,1673185498,1
26211613,1476215775,1
26236993,424561746,1
26236993,2038646225,1
26237010,2021789797,1
26237014,5304932668,1
26489348,424564101,1
26489409,1803896847,1
26490218,26490225,1
26490225,26490218,1
26490228,1363752228,1
26490229,1363752230,1
26490984,9806143728,1
26490989,1054587396,1
26490994,2247913667,1
26506923,1673255593,1
26506968,1673255593,1
26653586,30441994,1
26667793,26667798,1
26667793,26667814,1
26667793,1579405498,1
26667793,4972304270,1
26667795,1251312723,1
26667795,9611159082,2
26667798,26667793,1
26667814,26667793,1
26678091,3792021359,1
26692423,266415601,1
26692423,1471783852,1
26692423,10618763972,1
26692435,26692437,1
26692435,1944632366,1
26692435,7912308879,1
26692437,26692435,1
26692437,266415533,1
26692437,282685979,1
26692448,282685977,1
26692448,282685979,1
26692453,282685977,1
26692453,282686159,1
26692453,282688468,1
26692453,1365404728,1
26692480,267180946,1
26692480,288376891,1
26692480,1307976697,1
26692480,1307976699,1
26692480,1343052949,1
26692483,1140874222,1
26948616,26948626,1
26948616,1660570130,1
26948626,26948616,1
26948626,423158236,1
26948626,2701003825,1
26948652,283279508,1
26948652,1657477967,1
26948652,1823225041,1
26948665,8420088789,1
26949007,26949060,1
26949007,274073766,1
26949007,288425351,1
26949011,323027766,1
26949011,449197055,1
26949011,8420128427,1
26949060,26949007,1
26949060,402441073,1
26949060,8420128427,1
26949074,26949079,1
26949074,392079153,1
26949079,26949074,1
26949079,30441926,1
26949079,1823225049,1
26949082,26949088,1
26949082,30441928,1
26949082,1823225051,1
26949088,26949082,1
26949088,30441945,1
26949088,31268868,1
26949088,31268878,1
26949100,31268915,1
26949158,31268964,1
26949164,26949175,1
26949164,31268932,1
26949165,31268932,1
26949165,31268964,1
26949175,26949164,1
26949175,288722477,1
26949175,1193140989,1
27084994,1365404728,1
30441926,26949079,1
30441926,30441928,1
30441926,1823225051,1
30441928,26949082,1
30441928,30441926,1
30441928,30441938,1
30441938,30441928,1
30441938,30441945,1
30441945,26949088,1
30441945,30441938,1
30441962,191691421,1
30441962,392079153,2
30441962,8105018421,1
30441962,9782205928,1
30441973,392079153,1
30441973,1237043503,1
30441973,1823225049,1
30441994,30442013,1
30441994,30442053,1
30441994,1237043503,1
30442013,30441994,1
30442013,30442017,1
30442013,30442031,1
30442017,30442013,1
30442017,30442031,1
30442017,30442109,1
30442031,30442013,1
30442031,30442017,1
30442031,300442595,1
30442053,30441994,1
30442053,30442059,1
30442053,300442595,1
30442059,30442053,1
30442059,300442595,1
30442059,2334771387,1
30442109,30442017,1
30442109,1237043506,1
30442161,1489365111,1
30442172,30467514,1
30442280,30442348,1
30442337,30442348,1
30442337,30442373,1
30442337,2583448563,1
30442348,30442280,1
30442348,30442337,1
30442348,30442354,1
30442354,30442348,1
30442354,30442358,1
30442354,2583448557,1
30442358,30442354,1
30442358,30442373,1
30442358,2583448553,1
30442373,30442337,1
30442373,30442358,1
30451783,30451793,1
30451793,30451783,1
30467514,30442172,1
30467514,31268908,1
30467514,1489365111,1
30567608,1216261718,1
30567634,1216261195,1
30568435,1216261491,1
30568730,1216261417,1
30568756,523634032,1
31267567,24956257,1
31267568,24956256,1
31267572,2739474781,1
31267572,4092911577,1
31267572,6760379504,1
31267573,31267575,1
31267573,952419765,1
31267573,1020613472,1
31267573,2739474781,1
31267575,24956257,1
31267575,31267573,1
31267575,952419785,1
31267576,952419785,1
31267577,24956256,1
31267577,24956257,1
31267577,1020613472,1
31267577,1020613495,1
31268868,26949088,1
31268868,31268878,1
31268878,26949088,1
31268878,31268868,1
31268878,31268903,1
31268879,31268903,1
31268879,1325404730,1
31268903,31268878,1
31268903,31268879,1
31268903,286496197,1
31268908,30467514,1
31268908,31268915,1
31268915,26949100,1
31268915,31268908,1
31268915,31268930,1
31268930,31268915,1
31268930,31268932,1
31268930,8420088760,1
31268932,26949164,1
31268932,26949165,1
31268932,31268930,1
31268932,8420088759,1
31268932,8420088760,1
31268932,8464489377,1
