u,v,landuse_count
6488684,10584055661,1
6488690,3679259118,1
6488690,4482360386,1
6488690,9949466863,1
6488692,7670457,1
6488692,7673068,1
6488692,9952724263,1
6488693,7673068,1
6488693,7673078,1
6488693,4404424559,1
6488693,9598469660,1
6488711,17343186,1
6488712,1648067483,1
6503247,2302872134,1
6503251,8084552,1
6503251,8084556,1
6503251,8084562,1
6503251,7377063220,1
6503253,6503255,1
6503253,8084556,1
6503253,8084559,1
6503253,2327433452,1
6503255,6503253,1
6503255,25902649,1
6503256,8084565,1
6503256,8120880,1
6503256,25902649,1
6503256,3396834136,1
6503258,8084565,1
6503258,8120882,1
6503258,529793670,1
6503259,8120885,1
6503259,529793670,1
6503259,8485128266,1
6503260,8120886,1
6503260,2355133877,1
6503263,10289286,1
6503263,1625314947,1
6503263,2153564122,1
6503265,2153564121,1
6504012,1206860277,1
6504019,8086627,1
6504019,1014815197,1
6504019,9483802143,1
6504024,8097233,1
6504024,8901303,1
6504024,11062538,1
6504024,5297278619,1
6504028,6504038,1
6504028,281180883,1
6504028,4955465762,1
6504038,7262118,1
6504038,8217176,1
6527591,8084676,1
6527591,104374395,1
6527591,291222063,1
6527591,5456826201,1
6527605,7397306,1
6527605,445515600,1
6527617,6527618,1
6527617,7224389,1
6527617,4602503814,1
6527618,6527617,1
6527618,8084684,1
6527618,20847846,1
6527620,20847846,1
6527623,8084688,1
6527627,4961285161,1
6527628,8084803,1
6527628,8085028,1
6527630,23723716,1
6527632,4961285225,1
6527635,8084809,1
6527635,23723734,1
6527639,3605960576,1
6527639,4895451169,1
6540008,253180526,1
6542974,8536110,1
6542975,10233248898,1
6961266,25259687,1
6961266,26013970,1
6961266,1462295807,1
7170216,274874462,1
7211076,7262117,1
7211076,288387751,1
7211076,288387788,1
7211077,13091944,1
7211079,1474884407,1
7211080,7737277,1
7211080,1374739785,1
7211080,5487431873,1
7211080,5487431874,1
7217663,14924274,1
7224384,7224386,1
7224384,8546318,1
7224384,3496730817,1
7224386,7224384,1
7224386,462244324,1
7224386,4717073290,1
7224388,4717583480,1
7224389,6527617,1
7224389,7224390,1
7224389,7397306,1
7224389,8097301,1
7224390,7224389,1
7224390,8086661,1
