u,v,roads_p_count
698029,20927537,6
698029,6726824634,5
698029,9370103431,6
698030,1680461786,4
698030,2460384709,4
698032,7741037,4
698032,8085685,5
698032,9839949348,5
698037,4929108058,6
698037,6949776233,4
698332,20922358,4
698332,20922363,3
698332,6606543880,3
698334,1331396237,3
698335,298498549,6
698335,1454369336,4
698646,1588464243,7
698646,7043484146,6
698646,9651875402,6
698647,2237901317,7
698647,9032680699,5
698650,444969539,6
698650,865168137,3
698650,8644585630,3
698656,17232410,6
698656,444994260,7
698656,919905811,5
698657,2680743579,7
698657,4865725739,5
698663,5583563213,7
698663,5879572003,4
698663,9923373873,4
698664,565034661,3
698664,1388596024,3
698665,582295825,3
698665,4717073273,3
698671,8084942,6
698671,25249629,6
698671,1234226326,7
698672,11062528,5
698672,1568601451,5
698672,10566798002,5
698672,10566798005,5
698675,278783420,3
698675,1356867925,3
698675,9963560219,3
698679,25297191,6
698679,4694736165,4
698679,10586355618,4
698680,8078322,7
698680,1573491331,6
698680,6952474353,6
698683,8214785,8
698683,1311740564,7
698683,4269777835,7
698683,5275812471,7
698683,5275812503,7
705243,814173,4
705243,298482022,6
705243,1923889068,5
705251,793298,3
705251,1923889068,4
706250,1574174853,4
706324,1446941372,6
706324,3676767755,7
706324,4927488354,5
706331,3676767773,4
706331,6949357851,5
706621,8097256,5
706623,7640636,3
706627,26678091,6
706627,2534762559,4
706627,3428463397,4
706633,7640645,7
706633,279474007,5
706648,8078458,8
706648,7430325746,8
706648,7430325755,8
706815,1331044361,6
706815,1628550490,6
706815,2338083476,6
706815,2338083478,6
706848,298518054,7
706848,2226046437,5
706848,9865460416,5
725094,725161,6
725094,11038633549,2
725111,277057753,4
725111,2398732086,6
725111,4876445713,3
725113,4876445700,6
725113,10143079964,5
725128,3416213702,5
725128,4876445704,7
725161,10037675872,6
725161,10302313294,6
725161,10939743596,5
725307,7663278,6
725307,251082725,6
725307,1060105714,7
725336,296362687,6
725336,5140938587,5
725336,7434184332,4
781544,1441304,5
781544,7646323,5
781544,298527246,7
781548,3454092915,3
781548,10207931922,3
781548,10870263839,2
781552,7773021,6
781552,7773024,4
781552,8233764,8
781552,24692347,4
781568,20908245,6
781568,95900119,6
781568,298482022,5
781568,2721583349,5
781569,298482022,3
781569,2688188034,4
781569,4181943938,3
781571,298482022,4
781571,1923889068,6
781571,2688188034,6
781573,7726675,7
781573,20908245,6
781573,4015033681,5
791973,791980,5
791973,6533532882,4
791973,9775957034,4
791973,10804732472,3
791975,9966028939,3
791975,10536961696,4
791975,10537115353,4
791978,312322529,3
791978,1059565486,3
791978,9966028939,3
791980,791973,5
791980,791981,5
791980,8087161,5
791981,791980,5
791981,791983,4
791981,8087159,4
791981,8500285549,4
791983,791981,4
791983,8087160,3
791983,4427861609,3
791984,298870646,3
791984,2610953245,3
791984,2610953246,3
791984,4427861609,3
791986,1050213873,8
791986,4927487166,7
791989,1050213876,7
791989,6352788964,5
791989,6952369739,5
791991,4950834285,3
791991,6352788959,3
791992,1625204105,4
791992,6352788957,3
791996,18164858,5
791996,286513056,4
792009,298870636,5
792009,1281443548,5
792009,4427861608,5
792009,7320237231,4
792010,1574121900,3
792010,7437379135,3
792010,7437379138,3
792017,1632453843,3
792840,1043954432,4
792840,7304328622,4
792844,20908178,4
792844,20908387,4
792844,7699765501,4
792845,20908169,3
792845,20908385,3
792845,4393824872,3
792846,18165915,7
792846,319833065,5
792846,1655800631,5
792846,4393824872,5
792849,8122150,4
792849,1555791515,5
792849,9072338840,4
792850,1036703373,6
792850,1648295974,5
792850,3468422400,5
792850,9072338849,6
792851,321716899,3
792851,1036703373,3
792851,1648295944,3
792853,1064184691,4
792853,1803909395,4
792853,2877194235,4
792906,2370644,7
792906,339558971,5
792911,20930737,3
792911,20930959,3
792911,1648218789,3
792913,20930733,3
792913,20930738,3
792913,919888083,4
792914,20930734,4
792914,20930744,4
792914,1040150223,5
792914,1896822370,5
792937,266710404,5
