u,v,railways_p_count
269938600,10054014780,1
269938616,5513540303,1
270109828,2283813944,1
270109828,9582854920,1
270110040,7670457,1
272862078,6498707586,1
272862367,272864237,1
272864237,272862367,1
273347119,290438736,2
274068932,4191517115,4
274394353,8919786,2
274394389,118787,2
276073724,1657693819,1
276073724,4730948518,2
277056689,593753744,4
277057926,7235762,2
278385085,9370627007,2
278389447,1387400010,2
278781614,2251957916,1
279927888,1049642765,9
279973460,9360188349,2
279998222,598197056,4
280021805,3772022524,2
282678754,576726,5
283110551,5504104391,1
283549495,5714634286,1
285507652,286577815,1
286511812,2336904077,2
286577815,698019,1
286577815,285507652,1
287334347,3308477823,3
287334347,3428473797,1
287346618,2155782417,1
287346618,2516878400,1
287346618,9837951694,1
290438736,273347119,2
290438736,3713903541,1
290726382,290726385,1
290726385,290726382,1
290726385,9836262407,1
291744070,6048884458,1
291744070,10233248876,1
294217386,269938600,1
294217395,12731106,1
294217395,298464615,2
294222458,8082309,2
294222459,8082310,2
294222469,8082310,1
294222469,296199137,1
294222469,6937813497,1
295966966,1055879,1
296199137,294222469,1
296199221,296206763,1
296199221,2283820146,1
296206763,296206772,1
296206763,2283820148,1
296206871,9651651557,1
296362687,725336,2
296363322,298795933,2
297902585,297902586,1
297902585,10815916206,1
297902586,297902585,1
297902586,10232707002,2
297902599,10802018146,2
298099253,1628379741,4
298446902,9501036423,3
298464610,7432898417,1
298464610,7432898418,1
298464610,7432898423,1
298464610,7432898427,1
298464615,294217395,2
298466192,1623906020,2
298480575,8298205431,2
298480597,5423479419,2
298527246,1620374718,1
298530877,1411014685,2
298795441,298795456,3
298795449,2512504212,2
298795449,2513054100,8
298795456,298795441,3
298795456,1181499850,1
298795465,2513054106,1
298795496,298795465,1
298795496,298795504,1
298795504,298795465,2
298795691,8676333002,1
298795898,1190873137,5
298795898,6357644356,1
298795933,8088494,2
298795933,296363322,2
298795952,8088035,2
299498437,8644585635,4
299742416,10635095742,1
300094195,300094211,4
300094211,300094195,4
300094211,300094223,4
300371898,300371896,2
300371898,2327433450,2
300444904,1582952838,2
303345555,1225576327,2
308206107,1234226326,2
308637131,1582952838,2
308641400,9324309778,2
308728848,7673092,1
308728848,500851059,2
312322529,791978,2
312322529,1059565488,1
314435399,10049119433,1
314435400,7670449,1
314435405,2283820145,1
315018172,282678754,3
315018174,315018172,2
330204177,618785741,2
330974787,1823323267,1
330975227,331139931,1
330975227,1853300072,1
330975756,5394379326,1
331139931,330975227,1
335980904,8304792,2
335980904,335980908,2
335980908,335980904,2
366513076,13091934,2
408435172,428910226,2
421432256,6949628466,4
421862952,336232785,8
424595291,1657693819,3
433548403,257790038,1
435681911,4945423171,2
445515600,6527605,1
452607638,1234226376,2
458718207,1059654171,1
458733438,26492937,2
477281972,1387400007,1
477438179,7303890549,1
477438179,7303890553,1
477438193,477438297,1
477438276,10802018069,1
477438278,1412122343,2
477438294,477438297,1
477438297,477438193,1
477438297,477438294,1
477441833,7303890542,1
500851059,308728848,2
532495646,7262118,2
538264851,4980714615,1
543377604,4428907406,2
543377690,25508620,2
559533233,588405662,1
562654462,9877017461,2
562654462,9877050227,2
565466667,4927567104,2
569015224,4888130552,2
577282497,4935428633,1
577282497,5114682610,2
577282509,1055882,2
577282509,4935428633,1
577282536,9810546184,2
580890076,1055879,1
582811487,1446321083,4
586436646,2253529695,1
588405662,559533233,1
593753744,7726675,1
593753744,277056689,4
593869909,1578282344,2
595293330,5680196415,2
598197056,279998222,4
598201535,25260946,1
598201537,8540620483,6
598201555,1973430689,2
598201555,8540620494,2
606927495,247737948,2
606927508,118868,2
607315069,607315066,1
610608424,24959171,1
610608424,7303911686,1
611763107,618600671,2
618600671,611763107,2
618785741,330204177,2
618785753,8919792,2
618819473,3379557973,2
618888983,2269786651,4
618888984,618888988,3
618888984,2269786651,2
618888988,618888984,3
618888988,7899100659,1
659992468,659992475,2
659992475,659992468,2
659994615,659994616,2
659994616,659994615,2
674093686,1620882555,1
674093689,1620882555,1
727392860,727392869,1
727392860,727392871,1
727392860,4502272972,1
727392860,4645880154,1
727392868,727392869,2
727392868,1614160621,1
727392869,727392860,1
727392869,727392868,2
727392871,727392860,1
727419782,10206801161,3
763646727,3713815423,4
763646727,8406515013,2
763646728,290438736,1
763646728,3713815423,3
763646729,763646728,1
790120764,4972445177,1
790120764,5930919861,1
790120764,8923658654,1
849698882,10831678623,2
865168137,1282708379,2
865168142,1234226368,2
899205620,3623340259,2
927293730,9905698234,2
976030621,5824034045,6
1029472891,3221718947,2
1029964923,1029964935,1
1029964935,1029964923,1
1029964935,4199695804,1
1032476389,20930753,4
1032476424,1038575436,2
1038414672,5504104611,2
1038575436,1032476424,2
1039454917,697791,1
1039454917,1374694354,1
1040150223,5073252280,1
1049642765,279927888,9
1050213873,1524382456,2
1050213873,5887571934,2
1050213876,5440433377,1
1051217434,6923443831,1
1051217434,6923443832,1
1051720385,9782463283,8
1051817889,5037644597,1
1052225650,9956803468,3
1052300762,5037644597,1
1052554928,1052554950,1
1052554950,1052554928,1
1052708411,9349799273,2
1059527571,1059527645,1
1059527645,1059527571,1
1059527645,3635213519,1
1059552065,1059654331,1
1059552065,1059654399,1
1059565446,1059565488,1
1059565458,8500302871,1
1059565488,312322529,1
1059565488,1059565446,1
1059565488,1059565494,1
1059565488,8500302872,1
1059565494,1059565488,1
1059565494,1059603105,1
1059565528,8500302871,1
1059603099,1059603105,1
1059603099,7439532562,1
