u,v,transport_p_count
2931115240,7726672,1
2940373755,8710151408,1
2976750698,1579713320,1
2983465501,253196509,1
3086466166,1794362542,1
3093678691,257790035,1
3098879757,4199741586,1
3180508470,8907339834,1
3332957951,2892598930,2
3377464040,10098377409,1
3396822933,11002100463,1
3412622872,432652537,1
3456860394,8989649328,1
3496730817,4717073273,1
3535823224,1608112353,1
3605960576,9534454762,1
3625203356,253196487,1
3625203382,8078323,1
3635219649,2516856980,2
3638789298,1578170971,2
3661983053,12723458,1
3676631198,17207438,1
3763599290,3763599291,1
3763599291,3763599290,1
3943394124,8989649367,1
4184373098,8225026850,1
4199741586,3098879757,1
4200252913,336264986,1
4200252933,4200252956,1
4225167450,289551777,1
4296947278,1555732585,1
4393215790,1281820505,1
4404424554,5015464986,1
4459313617,295133661,1
4466566187,5622977272,1
4514061542,6167117677,1
4519617474,8108162988,1
4553070895,1579394398,1
4652099948,267024700,1
4669043041,25248653,1
4673538601,456286917,1
4690617146,20947800,1
4708316455,7112820180,2
4717073273,3496730817,1
4729808233,9433901405,1
4789456563,2302924767,2
4848380224,1064268199,1
4876445704,298870622,2
4876779880,9874238379,1
4927487166,18164859,1
4929108058,4929108050,1
4935428633,577282509,1
4980714618,8121561,1
5015352678,3377464039,1
5101220003,73083453,1
5316658777,5316658774,1
5396394836,5396394844,1
5396394844,5396394836,1
5434289426,6540008,1
5444056728,8086678,1
5583563206,11038091596,1
5583563213,698663,1
5622977272,4466566187,1
5646198990,5646198995,1
5646198995,5646198990,1
5768753824,271653317,1
5768753824,278389463,1
5768753824,5768753826,1
5768753826,5768753824,1
5793453484,4579502125,1
5887504925,18222739,1
5939162164,24267110,1
6167117677,4514061542,1
6328329849,1496408439,1
6359420314,1181499859,2
6606543875,6606543880,1
6606543880,6606543875,1
6946538608,4927557854,1
6982007410,8121711,1
6991051651,2160794889,1
7112820180,4708316455,2
7289328538,7470153,1
7372303149,296199152,1
7425617840,588405662,1
7447568043,7729283,1
7456811606,7646343,1
7456869362,806897,1
7653690899,7653690903,1
7653690903,7653690899,1
7660309621,4581844459,1
7673263463,7676422825,1
7676422825,7673263463,1
7682553603,2632159381,1
7710731327,253196509,1
7878554387,9431343606,1
8108162988,4519617474,1
8319476223,10048226646,1
8339387867,454628704,1
8369440603,793290,1
8369440605,2318157454,1
8526376060,8084992,1
8575524952,7726641,1
8579330032,576709,1
8629479783,1881264914,1
8663243441,8960110436,1
8710151408,2940373755,1
8792002664,7224402,1
8829748441,20917722,1
8852856922,10560322295,1
8852856975,10570665040,1
8907339834,3180508470,1
8960110426,8960110430,1
8960110436,8663243441,1
8989649328,3456860394,1
8989649367,3943394124,1
8990288645,7729281,1
9219069311,31468292,1
9431343606,7878554387,1
9433901405,4729808233,1
9512347005,10674335595,2
9534454762,3605960576,1
9798823193,9798823206,1
9798823206,286511816,1
9798823206,9798823197,1
9810546191,9810546197,1
9810546197,9810546191,1
9810546205,9810546206,1
9810546206,9810546205,1
9814757548,17232422,1
9874238379,4876779880,1
10048226646,1579322680,1
10048226646,8319476223,1
10075093698,8086438,1
10155079966,2207188959,1
10674335595,9512347005,2
11038091596,5583563206,1
