u,v,buildings_count
1106829493,6535947078,1
1116920301,1801667988,1
1118902642,1525958055,1
1146193390,1865279319,1
1165951437,1165951441,1
1165951441,1165951437,1
1190852543,10255680847,2
1190873106,2737213869,1
1191094677,1282582806,1
1204573687,1204573692,1
1204573692,1204573687,1
1207705259,1207705262,1
1207705262,1207705259,1
1207717269,1335403236,1
1217365722,8402199161,1
1217537068,1217537074,1
1217537070,606807429,1
1217537074,1217537068,1
1227809476,1236259021,1
1227859795,1236322714,1
1227859811,8677607161,1
1235112791,1435817376,1
1236258992,4637495416,1
1236259018,4637495429,1
1236259021,1227809476,1
1236322714,1227859795,1
1236327016,1064480627,1
1236587497,1236587502,1
1236587502,1236587497,1
1236587502,4666932066,1
1236615398,1236615403,1
1236615403,1236615398,1
1247869998,2022036970,1
1247869998,5885722758,1
1249999724,1524424891,1
1249999724,1574030661,1
1250127717,1250127829,1
1250127776,26236995,1
1250127800,5807881056,1
1250127829,1250127717,1
1250127866,5807881056,1
1250127877,1250127882,1
1250127882,1250127877,1
1251312670,1620270240,1
1255213422,1631127483,1
1255233390,1305669021,1
1264885081,95871968,1
1269666940,1269666944,1
1269666944,1269666940,1
1270978951,1270978990,1
1270978951,1270979166,1
1270978951,10149096121,1
1270978990,1270978951,1
1270979166,1270978951,1
1277430423,1277430509,1
1277430509,1277430423,1
1277435586,2114211477,1
1277939645,1277939649,1
1277939646,1277939651,1
1277939646,1277939653,1
1277939646,3496749420,1
1277939649,1277939645,1
1277939649,1277939652,1
1277939649,1277939653,1
1277939651,1277939646,1
1277939652,1277939649,1
1277939652,1277939655,1
1277939652,1277939665,1
1277939652,3496749436,1
1277939653,1277939646,1
1277939653,1277939655,1
1277939654,118744,1
1277939654,1277939656,1
1277939654,1294343345,1
1277939654,6167979447,1
1277939655,1277939652,1
1277939655,1277939661,1
1277939656,1277939654,1
1277939656,4924695592,1
1277939659,118744,1
1277939659,6167979440,1
1277939659,6167979447,1
1277939660,1277939663,1
1277939661,1277939663,1
1277939661,3496749436,1
1277939662,6167979444,1
1277939662,6167979445,1
1277939663,1277939660,1
1277939663,1277939662,1
1277939664,1277939665,1
1277939664,3496749439,1
1277939664,6167979447,1
1277939665,1277939652,1
1277939665,1277939664,1
1277939665,3496749438,1
1282582806,1191094677,1
1282583541,1085719231,1
1287522420,1599626044,1
1294343345,1277939654,1
1294343345,1277939656,1
1303503115,335975499,1
1305669021,1255233390,1
1305669021,1505684178,2
1316467057,6167117602,1
1316467061,1783563297,1
1334722491,1334722510,1
1334722510,1334722491,1
1334722529,1334722545,1
1334722545,1334722529,1
1335403236,1207717269,1
1337346409,10013237545,1
1341480228,12723463,1
1342119436,1342119438,1
1342119436,1342119441,1
1342119438,1342119436,1
1342119441,1342119436,1
1359759108,26154565,1
1364396418,1364396494,1
1364396494,1364396418,1
1366703188,10621586548,1
1366703274,1366703277,1
1366703277,1366703274,1
1394653498,10282516677,1
1396103877,1396103881,1
1396103881,1396103877,1
1411996814,1412098876,1
1412098876,1411996814,1
1412129492,1417797177,2
1414164108,1414164113,1
1414164113,1414164108,1
1416141846,1416141846,2
1416141901,10671281866,1
1417462543,1016414370,1
1417797177,1412129492,2
